t_s,B_x_nT,B_y_nT,B_z_nT
397.5,-18052.8862089262,23814.0907122423,-21237.7170660657
398,-17193.2921538461,25540.8550119702,-19926.9333962207
398.5,-16269.8880689333,27159.7280251726,-18537.4377522615
399,-15290.267078149,28664.4629760473,-17074.0402233382
399.5,-14262.4153576115,30049.4981108466,-15541.8154893523
400,-13194.6556385999,31309.9882066592,-13946.085064135
400.5,-12095.5885791067,32441.8312385417,-12292.3986740229
401,-10974.0324367798,33441.6900628606,-10586.5148374957
401.5,-9838.96148418276,34307.0090140589,-8834.38071414455
402,-8699.4436108952,35036.0253514572,-7042.11129361245
402.5,-7564.57755614217,35627.7755316025,-5215.96799727685
403,-6443.43021054602,36082.0963195655,-3362.33676732853
403.5,-5344.97441648606,36399.6207889974,-1487.70571953648
404,-4278.02768376502,36581.7692952571,401.357562626334
404.5,-3251.19222121127,36630.7355381747,2298.22901368922
405,-2272.79666594052,36549.4678607501,4196.251272038
405.5,-1350.8398707455,36341.645957102,6088.75698561148
406,-492.937086976117,36011.6531871868,7969.09215677053
406.5,293.731144181183,35564.5447171709,9830.63944556325
407,1002.46710443283,35006.0117229201,11666.8413507634
407.5,1627.10075324837,34342.3419100056,13471.2231884688
408,2162.03108873122,33580.3766170955,15237.4157887154
408.5,2602.26380372456,32727.4647808658,16959.1778314911
409,2943.44505112947,31791.4140498864,18630.4177447147
409.5,3181.89115630777,30780.4393426441,20245.2150881832
410,3314.61413735534,29703.1091512462,21797.8413491808
410.5,3339.34291590062,28568.2898977357,23282.7800773833
411,3254.54012192484,27385.0886546135,24694.7462888715
411.5,3059.41441599177,26162.7945453725,26028.7050714982
412,2753.92827136328,24910.8191448089,27279.8893265078
412.5,2338.80117695281,23638.6362027488,28443.8165842005
413,1815.50824016895,22355.721018705,29516.3048345441
413.5,1186.27418668372,21071.4897988985,30493.4873169592
414,454.062772304488,19795.239330988,31371.826217036
414.5,-377.438359297415,18536.0873156507,32148.1252216653
415,-1303.83731997865,17302.9136976576,32819.5408879735
415.5,-2320.06204842316,16104.3033420516,33383.5927855345
416,-3420.38871483405,14948.4904031607,33838.1723755726
416.5,-4598.4743419584,13843.3047351137,34181.5505952526
417,-5847.39350152931,12796.1206918962,34412.3841196774
417.5,-7159.67892004837,11813.8086623677,34529.7202788391
418,-8527.36580145358,10902.6896806701,34533.0006115094
418.5,-9942.03964679188,10068.4934446569,34422.0630428629
419,-11394.8873227988,9316.3200640213,34197.1426775103
419.5,-12876.7511026211,8650.60584533281,33858.8712045399
420,-14378.1853732127,8075.09340296555,33408.2749161178
420.5,-15889.5156756815,7592.80636269396,32846.7713461532
421,-17400.8997175949,7206.02889846222,32176.1645404781
421.5,-18902.3899705583,6916.29031248409,31398.638974903
422,-20383.997442858,6724.35483451565,30516.752142361
422.5,-21835.7561962227,6630.21677809056,29533.4258351367
423,-23247.7881584023,6633.1011500497,28451.9361528603
423.5,-24610.3677698311,6731.46976529971,27275.9022715158
424,-25913.9859936543,6923.03287194999,26009.2740131547
424.5,-27149.4132142382,7204.76624346363,24656.318260283
425,-28307.760550318,7572.933644947,23221.6042630115
425.5,-29380.5391153334,8023.11453098228,21709.987890982
426,-30359.7167693907,8550.23678330448,20126.5948858124
426.5,-31237.7719246027,9148.61424897468,18476.8031733131
427,-32007.7439881552,9811.98879432292,16766.2242980104
427.5,-32663.2800550172,10533.576547612,15000.6840455562
428,-33198.677494363,11306.1179648178,13186.2023213997
428.5,-33608.9221099641,12121.9313187646,11328.9723566288
429,-33889.7215944687,12972.9691826193,9435.33931416647
429.5,-34037.5340398981,13850.8774548319,7511.77837050575
430,-34049.5913111713,14747.0564542949,5564.87234989284
430.5,-33923.9171352374,15652.7236019005,3601.28898931791
431,-33659.339804735,16558.97719782,1627.75791383838
431.5,-33255.499441252,17456.8608025678,-348.952597355687
432,-32712.8498085773,18337.4277339989,-2322.05897312324
432.5,-32032.6547101722,19191.8052014647,-4284.78575947097
433,-31216.9790469273,20011.257611968,-6230.38899420412
433.5,-30268.6746506391,20787.2486007925,-8152.17946600752
434,-29191.3610452082,21511.5013601758,-10043.5457773582
434.5,-27989.4013210523,22176.0568635503,-11897.9771314689
435,-26667.8733385154,22773.3296090973,-13709.0857645329
435.5,-25232.536503056,23296.1605342652,-15470.6289458797
436,-23689.794378765,23737.8667819468,-17176.5304702523
436.5,-22046.6534273841,24092.2880286943,-18820.9015682813
437,-20310.6781776463,24353.8291152372,-20398.0611633396
437.5,-18489.943144649,24517.4987492998,-21902.5554053247
438,-16592.9818313494,24578.9440799935,-23329.1764145097
438.5,-14628.7331543921,24534.4809716894,-24672.9801714312
439,-12606.4856446175,24381.1198331163,-25929.303491828
439.5,-10535.8197789912,24116.5868844256,-27093.7800289014
440,-8426.54880557166,23739.3407711261,-28162.3552486208
440.5,-6288.6584266791,23248.5844591759,-29131.300327443
441,-4132.24570778768,22644.2723702409,-29997.2249256253
441.5,-1967.45758092717,21927.1127403226,-30757.0887932933
442,195.570688409863,21098.5652087858,-31408.2121705414
442.5,2346.77670271445,20160.8336684409,-31948.2849470998
443,4476.2314361061,19116.854430907,-32375.3745514692
443.5,6574.19867724405,17970.2797851422,-32687.9325438882
444,8631.19305318098,16725.4570508684,-32884.799892047
444.5,10638.0362820066,15387.403252707,-32965.2109130727
445,12585.9113100566,13961.7755651792,-32928.7958699674
445.5,14466.4139993516,12454.83770327,-32775.5822153647
446,16271.6020429821,10873.4224578944,-32505.9944801693
446.5,17994.0408005356,9224.8906001856,-32120.8528093244
