<Arduino is ready>
Dipole: 125.5,-0.53,0.31,-0.09
Dipole: 126,-0.52,0.33,-0.07
Dipole: 126.5,-0.51,0.35,-0.04
Dipole: 127,-0.50,0.37,-0.02
Dipole: 127.5,-0.48,0.39,0.01
Dipole: 128,-0.46,0.41,0.03
Dipole: 128.5,-0.45,0.43,0.05
Dipole: 129,-0.42,0.45,0.08
Dipole: 129.5,-0.40,0.46,0.10
Dipole: 130,-0.38,0.48,0.12
Dipole: 130.5,-0.35,0.49,0.14
Dipole: 131,-0.32,0.51,0.16
Dipole: 131.5,-0.29,0.52,0.18
Dipole: 132,-0.25,0.53,0.20
Dipole: 132.5,-0.22,0.54,0.22
Dipole: 133,-0.18,0.55,0.23
Dipole: 133.5,-0.15,0.55,0.25
Dipole: 134,-0.11,0.55,0.26
Dipole: 134.5,-0.07,0.55,0.27
Dipole: 135,-0.03,0.55,0.28
Dipole: 135.5,0.01,0.55,0.29
Dipole: 136,0.05,0.54,0.30
Dipole: 136.5,0.09,0.53,0.31
Dipole: 137,0.12,0.52,0.31
Dipole: 137.5,0.16,0.51,0.31
Dipole: 138,0.20,0.50,0.32
Dipole: 138.5,0.24,0.48,0.32
Dipole: 139,0.28,0.46,0.32
Dipole: 139.5,0.31,0.44,0.31
Dipole: 140,0.34,0.42,0.31
Dipole: 140.5,0.38,0.39,0.30
Dipole: 141,0.41,0.37,0.29
Dipole: 141.5,0.44,0.34,0.29
Dipole: 142,0.46,0.31,0.27
Dipole: 142.5,0.49,0.28,0.26
Dipole: 143,0.51,0.25,0.25
Dipole: 143.5,0.53,0.22,0.24
Dipole: 144,0.55,0.19,0.22
Dipole: 144.5,0.57,0.16,0.20
Dipole: 145,0.58,0.13,0.18
Dipole: 145.5,0.59,0.10,0.17
Dipole: 146,0.60,0.07,0.15
Dipole: 146.5,0.61,0.04,0.12
Dipole: 147,0.62,0.01,0.10
Dipole: 147.5,0.62,-0.02,0.08
Dipole: 148,0.62,-0.05,0.06
Dipole: 148.5,0.62,-0.07,0.03
Dipole: 149,0.62,-0.10,0.01
Dipole: 149.5,0.61,-0.12,-0.01
Dipole: 150,0.61,-0.14,-0.04
Dipole: 150.5,0.60,-0.16,-0.06
Dipole: 151,0.59,-0.18,-0.09
Dipole: 151.5,0.58,-0.20,-0.11
Dipole: 152,0.57,-0.21,-0.14
Dipole: 152.5,0.56,-0.22,-0.16
Dipole: 153,0.55,-0.24,-0.18
Dipole: 153.5,0.54,-0.24,-0.21
Dipole: 154,0.53,-0.25,-0.23
Dipole: 154.5,0.51,-0.26,-0.25
Dipole: 155,0.50,-0.26,-0.27
Dipole: 155.5,0.49,-0.26,-0.29
Dipole: 156,0.48,-0.26,-0.31
Dipole: 156.5,0.47,-0.26,-0.33
Dipole: 157,0.46,-0.25,-0.35
Dipole: 157.5,0.45,-0.25,-0.36
Dipole: 158,0.44,-0.24,-0.38
Dipole: 158.5,0.43,-0.23,-0.39
Dipole: 159,0.43,-0.22,-0.40
Dipole: 159.5,0.42,-0.22,-0.41
Dipole: 160,0.42,-0.20,-0.42
Dipole: 160.5,0.41,-0.19,-0.43
Dipole: 161,0.41,-0.18,-0.44
Dipole: 161.5,0.41,-0.17,-0.44
Dipole: 162,0.41,-0.16,-0.45
Dipole: 162.5,0.42,-0.15,-0.45
Dipole: 163,0.42,-0.14,-0.45
Dipole: 163.5,0.43,-0.13,-0.45
Dipole: 164,0.43,-0.12,-0.44
Dipole: 164.5,0.44,-0.11,-0.44
Dipole: 165,0.45,-0.10,-0.43
Dipole: 165.5,0.46,-0.09,-0.42
Dipole: 166,0.47,-0.09,-0.42
Dipole: 166.5,0.48,-0.08,-0.40
Dipole: 167,0.49,-0.08,-0.39
Dipole: 167.5,0.50,-0.08,-0.38
Dipole: 168,0.51,-0.08,-0.36
Dipole: 168.5,0.52,-0.08,-0.35
Dipole: 169,0.53,-0.08,-0.33
Dipole: 169.5,0.54,-0.08,-0.31
Dipole: 170,0.55,-0.09,-0.29
Dipole: 170.5,0.56,-0.10,-0.27
Dipole: 171,0.57,-0.11,-0.25
Dipole: 171.5,0.58,-0.12,-0.23
Dipole: 172,0.58,-0.13,-0.21
Dipole: 172.5,0.59,-0.15,-0.18
Dipole: 173,0.59,-0.16,-0.16
Dipole: 173.5,0.59,-0.18,-0.14
Dipole: 174,0.59,-0.20,-0.11
Dipole: 174.5,0.59,-0.22,-0.09
Dipole: 175,0.58,-0.24,-0.06
Dipole: 175.5,0.58,-0.26,-0.04
Dipole: 176,0.57,-0.28,-0.01
Dipole: 176.5,0.56,-0.30,0.01
Dipole: 177,0.55,-0.32,0.04
Dipole: 177.5,0.53,-0.34,0.06
Dipole: 178,0.51,-0.36,0.09
Dipole: 178.5,0.49,-0.38,0.11
Dipole: 179,0.47,-0.40,0.13
Dipole: 179.5,0.45,-0.42,0.15
Dipole: 180,0.42,-0.44,0.18
Dipole: 180.5,0.39,-0.46,0.20
Dipole: 181,0.36,-0.47,0.21
Dipole: 181.5,0.33,-0.49,0.23
Dipole: 182,0.30,-0.50,0.25
Dipole: 182.5,0.26,-0.51,0.26
Dipole: 183,0.23,-0.52,0.28
Dipole: 183.5,0.19,-0.53,0.29
Dipole: 184,0.15,-0.54,0.30
Dipole: 184.5,0.11,-0.54,0.31
Dipole: 185,0.07,-0.54,0.32
Dipole: 185.5,0.03,-0.54,0.33
Dipole: 186,-0.01,-0.54,0.33
Dipole: 186.5,-0.05,-0.54,0.34
Dipole: 187,-0.09,-0.53,0.34
Dipole: 187.5,-0.13,-0.52,0.34
Dipole: 188,-0.17,-0.51,0.34
Dipole: 188.5,-0.21,-0.50,0.34
Dipole: 189,-0.25,-0.48,0.33
Dipole: 189.5,-0.29,-0.47,0.33
Dipole: 190,-0.32,-0.45,0.32
Dipole: 190.5,-0.36,-0.43,0.31
Dipole: 191,-0.39,-0.41,0.30
Dipole: 191.5,-0.42,-0.38,0.29
Dipole: 192,-0.45,-0.36,0.27
Dipole: 192.5,-0.48,-0.33,0.26
Dipole: 193,-0.50,-0.31,0.24
